"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PPM1K"	1.89840467015893	4.05560782183941	19.0965085978295	3.61507039334904e-12	4.03005768046147e-10	18.2892998470906
"TNK2-AS1"	1.88794943188529	1.91485253544991	13.3521293436733	6.74163565056211e-10	2.78456143506512e-08	13.0785031941643
"FAM230B"	1.88227394726939	3.18191735517357	18.0360511873296	8.43652674028315e-12	8.2069425699738e-10	17.4391361766669
"CMTR1"	1.87759733541242	5.97824855458608	22.3522918216058	3.43663666472514e-13	6.17969756620575e-11	20.5616505381601
"TNFRSF9"	1.87493562747687	3.52884071480268	18.7734575591314	4.65803356921971e-12	4.99532009634032e-10	18.0391332233756
"TRANK1"	1.87479816530439	5.97467578235723	15.957826607864	5.11118296870717e-11	3.54043887972471e-09	15.3870415021192
"RP1-28O10.1"	1.87466909905337	2.41068084860697	10.0041167515956	3.76210616326326e-08	7.92580046371745e-07	9.08365197889468
"RP11-108B14.4"	1.8652720478432	2.86257469970689	17.3751729447469	1.46449124592661e-11	1.28427946600914e-09	16.8756147034352
"ADAMDEC1"	1.86495334409531	4.70825229832735	23.4151892462657	1.70870174187266e-13	3.74594115821874e-11	21.3322338883792
"CTD-2620I22.1"	1.86433861320563	2.71385946103135	12.4298177988331	1.86504274968654e-09	6.49735636593344e-08	12.0838738469473
"NUB1"	1.86381468903962	5.96039746293054	16.7062017332826	2.61049458371984e-11	2.05628427342392e-09	16.0873967689755
"AMICA1"	-1.85949389845522	5.31739588130424	-16.5253537474375	3.06298881242747e-11	2.3503158120187e-09	16.0757121591641
"FBXO6"	1.85798812973778	5.22978105195106	29.2570508863634	5.86905537726346e-15	2.08961847652088e-12	24.6875140273699
"TBC1D3H"	1.84884616710757	4.3969176207284	9.35310889245201	9.26254028135497e-08	1.68773533355866e-06	7.8080616719866
"CD80"	1.83961424297911	2.87939567140527	9.80428621843479	4.93736674242732e-08	9.89808589512288e-07	8.74488758487883
"PSME2"	1.83935914949354	6.35002435412055	23.5640811919159	1.55310935611615e-13	3.49980414652908e-11	21.3541565856352
"MYEOV"	1.82421580053465	1.44403466631741	8.14298005808895	5.60495878150363e-07	7.82584127281001e-06	6.46001898549073
"PSMB8-AS1"	1.81884591262433	2.99987769983547	11.2944468272699	7.13773793723478e-09	1.95185884421895e-07	10.6994979088913
"TMEM110-MUSTN1"	1.81872209197475	6.29290760328745	16.8955190413446	2.21192793359219e-11	1.78985186699128e-09	16.2280642037288
"TMEM110"	1.81757116889727	6.21595447285747	16.9349904116158	2.13727920712403e-11	1.74531396537716e-09	16.2707662669292
"RRM2"	-1.807576001402	2.71013737324016	-12.1915758351294	2.4506364326478e-09	8.09392018070429e-08	11.8287300761943
"FGD2"	1.79805895597649	5.75088343283297	17.8741368430203	9.64044017060642e-12	9.08037650355214e-10	17.1413861745202
"DOK2"	-1.79640015922282	3.5831507341987	-15.1953399579209	1.04389904179828e-10	6.25706758993032e-09	14.9527557141709
"PSME2P2"	1.79573747408461	4.9022649020318	19.1920966792006	3.35639246133162e-12	3.86523776242432e-10	18.3089723018751
"IRF9"	1.78616072390327	5.71062580297245	32.6973374128547	1.07984626324644e-15	6.00731974322283e-13	26.3720137672024
"CARD16"	1.78345139501153	3.244265867033	11.10605003517	9.01172055928626e-09	2.3766911021691e-07	10.4271246516303
